tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1998-339,Adelaide,Hard,32,A,19980105,1,102035,1.0,,Jonas Bjorkman,R,183.0,SWE,25.7,101917,,,Grant Stafford,R,188.0,RSA,26.6,6-4 6-2,3,R32,68.0,7.0,1.0,56.0,29.0,22.0,17.0,9.0,1.0,1.0,2.0,4.0,54.0,29.0,18.0,11.0,9.0,2.0,5.0,4.0,2949.0,74.0,649.0
1998-339,Adelaide,Hard,32,A,19980105,2,101727,,,Jason Stoltenberg,R,185.0,AUS,27.7,102548,,,Juan Antonio Marin,R,175.0,CRC,22.8,6-4 6-1,3,R32,69.0,6.0,0.0,56.0,30.0,23.0,15.0,9.0,1.0,2.0,1.0,7.0,64.0,32.0,19.0,11.0,8.0,9.0,13.0,79.0,617.0,87.0,537.0
1998-339,Adelaide,Hard,32,A,19980105,3,102765,,Q,Nicolas Escude,R,185.0,FRA,21.7,102491,,,Alex Radulescu,R,185.0,GER,23.0,6-0 7-5,3,R32,61.0,12.0,0.0,51.0,28.0,22.0,9.0,9.0,4.0,7.0,3.0,2.0,60.0,38.0,18.0,7.0,9.0,5.0,12.0,93.0,521.0,71.0,665.0
1998-339,Adelaide,Hard,32,A,19980105,4,102563,7.0,,Thomas Johansson,R,180.0,SWE,22.7,101647,,,Byron Black,R,175.0,ZIM,28.2,7-5 6-3,3,R32,76.0,6.0,1.0,63.0,30.0,20.0,19.0,10.0,3.0,5.0,3.0,2.0,56.0,37.0,21.0,10.0,11.0,1.0,6.0,39.0,959.0,76.0,633.0
1998-339,Adelaide,Hard,32,A,19980105,5,102796,4.0,,Magnus Norman,R,188.0,SWE,21.6,102104,,,Christian Ruud,R,188.0,NOR,25.3,6-3 1-6 6-4,3,R32,115.0,9.0,6.0,80.0,27.0,22.0,23.0,13.0,3.0,8.0,5.0,5.0,99.0,57.0,33.0,20.0,13.0,12.0,17.0,22.0,1450.0,65.0,708.0
1998-339,Adelaide,Hard,32,A,19980105,6,102259,,Q,Jerome Golmard,L,188.0,FRA,24.3,102019,,Q,Dirk Dier,R,185.0,GER,25.8,6-3 6-4,3,R32,91.0,7.0,1.0,66.0,42.0,30.0,16.0,10.0,7.0,7.0,6.0,5.0,62.0,30.0,20.0,18.0,9.0,4.0,6.0,115.0,429.0,162.0,282.0
1998-339,Adelaide,Hard,32,A,19980105,7,102533,,Q,Jens Knippschild,R,190.0,GER,22.8,101735,,,Richard Fromberg,R,196.0,AUS,27.6,3-6 6-3 7-5,3,R32,112.0,2.0,2.0,91.0,50.0,36.0,26.0,15.0,2.0,3.0,17.0,2.0,94.0,63.0,48.0,16.0,15.0,6.0,8.0,105.0,475.0,77.0,631.0
1998-339,Adelaide,Hard,32,A,19980105,8,101889,5.0,,Todd Woodbridge,R,178.0,AUS,26.7,210013,,,Martin Damm Sr,R,188.0,CZE,25.4,7-5 4-6 6-3,3,R32,137.0,3.0,5.0,119.0,67.0,47.0,27.0,16.0,13.0,16.0,7.0,2.0,90.0,55.0,44.0,15.0,15.0,6.0,10.0,26.0,1319.0,,
1998-339,Adelaide,Hard,32,A,19980105,9,102434,,,Vincent Spadea,R,183.0,USA,23.4,103017,6.0,,Nicolas Kiefer,R,183.0,GER,20.5,6-3 4-6 6-4,3,R32,97.0,7.0,2.0,80.0,54.0,34.0,16.0,15.0,2.0,6.0,7.0,4.0,72.0,41.0,25.0,15.0,14.0,2.0,7.0,88.0,536.0,32.0,1209.0
1998-339,Adelaide,Hard,32,A,19980105,10,101792,,,Slava Dosedel,R,183.0,CZE,27.3,102247,,,Andrea Gaudenzi,R,183.0,ITA,24.4,4-6 6-2 6-1,3,R32,79.0,6.0,2.0,77.0,47.0,35.0,18.0,13.0,1.0,2.0,2.0,6.0,66.0,43.0,30.0,9.0,12.0,3.0,7.0,43.0,899.0,57.0,739.0
