player_name,date,player_elo
Alexander Waske,2005-09-26,1525.0140661143496
Alexander Waske,2005-09-26,1510.8048575106627
Alexander Waske,2005-10-24,1494.4276772727646
Alexander Waske,2007-01-29,1495.2073777345367
Alexandros Jakupovic,2003-04-04,1484.0
Alexandros Jakupovic,2005-03-04,1467.9951359886136
Alexandros Jakupovic,2014-01-31,1453.464859623834
Alexey Kedryuk,2003-02-07,1501.4695015289756
Alexey Kedryuk,2003-02-07,1484.0
Alexey Kedryuk,2007-02-09,1485.4018288862171
Ali Hamadeh,2000-04-07,1470.0461884646404
Alistair Hunt,2001-02-09,1502.2774726660343
Alistair Hunt,2001-02-09,1485.6154163506978
Alistair Hunt,2001-04-06,1517.7510118972803
Alistair Hunt,2001-04-06,1501.7647671040606
Alistair Hunt,2002-02-08,1517.683497274462
Aljoscha Thron,2005-09-26,1484.0
Alti Vahkal,2001-04-27,1518.130088718727
Alti Vahkal,2005-03-04,1499.8687821155377
Alvis Tabors,1999-04-30,1484.0
Amine Ahouda,2017-02-03,1485.2738811862275
Amro Ghoneim,2004-04-09,1484.0
Andis Juska,2004-04-09,1470.0453389024556
Andis Juska,2005-03-04,1487.3788829061791
Andis Juska,2006-04-07,1488.3337390569147
Andis Juska,2007-04-06,1506.9591464368266
Andis Juska,2007-09-21,1537.597630656147
Andis Juska,2009-03-06,1552.6043021639805
Andis Juska,2009-09-18,1552.0042800311858
Andis Juska,2009-09-18,1536.2951777952637
Andis Juska,2010-09-17,1536.4276162472613
Andis Juska,2012-04-06,1551.684997378233
Ando Rasolomalala,2012-02-10,1484.736306793522
Andre Agassi,1998-10-19,1566.6852937620088
Andre Agassi,1998-11-02,1609.6115938660794
Andre Agassi,1998-11-02,1591.8518691861627
Andre Agassi,1999-10-04,1617.9813111917092
Andre Agassi,1999-10-04,1602.4927176108597
Andre Agassi,1999-11-01,1640.6483978499073
Andre Agassi,2000-04-07,1693.816054227931
Andre Agassi,2000-11-06,1687.6590231008947
Andre Agassi,2000-11-06,1677.8498960325976
Andre Agassi,2002-10-28,1701.0978680551473
Andre Agassi,2002-10-28,1687.2481122091933
Andre Agassi,2005-11-14,1665.0368839740877
Andre Sa,2002-01-28,1521.4356190138778
Andre Sa,2002-01-28,1506.965004257403
Andre Sa,2002-02-08,1482.4038393709006
Andre Sa,2002-09-30,1522.9302391099618
Andre Sa,2002-09-30,1514.7648140954973
Andre Sa,2002-10-07,1518.4642856947248
Andre Sa,2002-10-07,1505.6979979955913
Andre Sa,2003-01-27,1470.2495186751485
Andre Sa,2003-02-07,1458.17124010299
Andre Sa,2007-09-21,1475.3087914557154
Andrea Gaudenzi,2001-01-29,1475.9242476965917
Andrea Gaudenzi,2001-10-01,1464.2475697387108
Andrea Gaudenzi,2001-10-08,1489.1121086233034
Andrea Gaudenzi,2001-10-22,1515.4826968271063
Andrea Gaudenzi,2001-10-22,1503.6669579305976
Andrea Gaudenzi,2002-01-28,1450.3116875029705
Andrea Gaudenzi,2003-01-27,1469.0263644094307
Andrea Gaudenzi,2003-01-27,1457.7338862220774
Andreas Seppi,2004-02-09,1486.0511638406713
Andreas Seppi,2005-01-31,1479.0020164633174
Andreas Seppi,2005-01-31,1466.527339169495
Andreas Seppi,2005-10-24,1469.248077127214
Andreas Seppi,2005-10-31,1461.2236785037933
Andreas Seppi,2006-01-30,1483.6161768119455
Andreas Seppi,2006-01-30,1493.2617617224744
Andreas Seppi,2006-10-23,1464.8670565806578
Andreas Seppi,2006-10-30,1479.9044643803404
Andreas Seppi,2007-01-29,1449.4473405099923
Andreas Seppi,2007-10-22,1435.0451619944076
Andreas Seppi,2008-10-20,1454.0020726668656
Andreas Seppi,2008-10-20,1439.2700465687624
Andreas Vinciguerra,1999-03-01,1484.1333221619186
Andreas Vinciguerra,2000-10-23,1500.3843199491366
Andreas Vinciguerra,2000-10-23,1488.5117351936894
Andreas Vinciguerra,2001-10-01,1535.231609836382
Andreas Vinciguerra,2001-10-29,1563.7359045216913
Andreas Vinciguerra,2001-10-29,1556.59772174041
Andreas Vinciguerra,2003-02-07,1536.276340144182
Andreas Vinciguerra,2003-02-07,1521.130504518322
Andreas Vinciguerra,2009-03-06,1518.6117973907583
Andrei Cherkasov,1998-11-09,1487.5321720863785
Andrei Cherkasov,1999-02-08,1469.568159836038
Andrei Cherkasov,1999-11-08,1455.0907751484597
Andrei Cherkasov,2000-02-04,1431.260212502239
Andrei Cherkasov,2000-10-23,1445.5738936039866
Andrei Chesnokov,1999-02-08,1482.6635740403888
Andrei Ciumac,2009-03-06,1484.062094954764
Andrei Gorban,2001-04-27,1516.0
Andrei Gorban,2009-03-06,1500.9933284921665
Andrei Luzgin,2000-07-21,1516.0
Andrei Luzgin,2001-04-27,1514.5304984710244
Andrei Luzgin,2005-03-04,1515.3649770437921
Andrei Medvedev,1998-02-02,1516.0
Andrei Medvedev,1998-02-02,1500.0
Andrei Medvedev,1998-02-13,1532.7024671725246
Andrei Medvedev,1998-04-03,1515.4474052804528
Andrei Medvedev,1998-10-19,1518.7241038065256
Andrei Medvedev,1998-10-19,1519.4094815046176
Andrei Medvedev,1998-11-09,1501.121871072724
Andrei Medvedev,1999-02-12,1518.4729632091369
Andrei Medvedev,1999-10-04,1551.1257593150895
Andrei Medvedev,1999-10-04,1536.7213677013046
Andrei Medvedev,1999-10-18,1520.1843927014183
Andrei Medvedev,1999-11-01,1534.098587568981
Andrei Medvedev,1999-11-01,1519.3112803721847
Andrei Medvedev,1999-11-08,1551.0205381080968
Andrei Medvedev,1999-11-08,1533.952581270743
Andrei Medvedev,2000-02-04,1547.6679006598786
Andrei Medvedev,2001-01-29,1560.7806109909784
Andrei Medvedev,2001-01-29,1544.0419146566762
Andrei Merinov,1998-02-02,1516.0
Andrei Merinov,1998-02-02,1500.0
Andrei Olhovskiy,1998-11-09,1484.6375726076274
Andrei Pavel,1998-03-09,1515.9729406342349
Andrei Pavel,1998-03-09,1515.8773410661786
Andrei Pavel,1998-10-05,1499.1466710541363
Andrei Pavel,1998-10-12,1513.3034083461723
Andrei Pavel,1998-10-12,1498.7316662793353
Andrei Pavel,1998-10-19,1514.0536542501407
Andrei Pavel,1998-10-19,1497.4099230489987
Andrei Pavel,1998-11-09,1514.4227625495764
Andrei Pavel,1998-11-09,1501.6889358605035
Andrei Pavel,1999-02-08,1532.469758710483
Andrei Pavel,1999-02-08,1520.3612882977832
Andrei Pavel,1999-02-22,1506.3488028943525
Andrei Pavel,1999-10-04,1491.833740131708
Andrei Pavel,1999-11-08,1507.6614680537032
Andrei Pavel,1999-11-08,1492.366247997377
Andrei Pavel,2000-04-07,1498.5610125097141
Andrei Pavel,2000-10-23,1507.9780760257834
Andrei Pavel,2000-10-23,1493.5730402010354
Andrei Pavel,2000-11-06,1463.2671299582448
Andrei Pavel,2000-11-13,1476.32604843554
Andrei Pavel,2001-01-29,1471.1643209002673
Andrei Pavel,2001-02-09,1491.1551155609318
Andrei Pavel,2001-02-09,1481.8774783412382
Andrei Pavel,2001-09-21,1466.7689056138604
Andrei Pavel,2001-10-22,1515.3907642505803
Andrei Pavel,2001-10-22,1499.0196310221334
Andrei Pavel,2001-10-29,1484.2770312313671
Andrei Pavel,2002-04-05,1518.6551434950484
Andrei Pavel,2002-09-20,1538.0226788740051
Andrei Pavel,2002-10-28,1484.2946043802328
Andrei Pavel,2002-10-28,1487.7379697408917
Andrei Pavel,2003-02-07,1578.5379359418039
Andrei Pavel,2003-10-06,1595.8443285064407
Andrei Pavel,2003-10-27,1627.0240593527103
Andrei Pavel,2003-10-27,1614.8570422440562
Andrei Pavel,2004-11-01,1590.0388495395948
Andrei Pavel,2004-11-01,1570.9738642926357
Andrei Pavel,2005-01-31,1571.271714582863
Andrei Pavel,2005-01-31,1552.864934524078
Andrei Pavel,2005-07-15,1573.0139028072238
Andrei Pavel,2005-07-15,1559.3133012352669
Andrei Pavel,2005-10-10,1565.9251205810592
Andrei Pavel,2005-10-10,1562.2851422215308
Andrei Pavel,2005-10-24,1574.1170503123142
Andrei Pavel,2005-10-24,1557.917126726568
Andrei Pavel,2005-10-31,1557.630397389755
Andrei Pavel,2006-10-23,1572.6789290096842
Andrei Pavel,2006-10-23,1558.5708320459823
Andrei Pavel,2007-09-21,1553.631137437974
Andrei Pavel,2007-10-22,1538.0805469750012
Andrei Rybalko,1998-02-13,1484.736306793522
Andrei Rybalko,1998-04-03,1471.4253235615038
Andrei Rybalko,1999-02-12,1430.8601890250557
Andrei Stoliarov,1999-11-08,1514.3189818173958
Andrei Stoliarov,1999-11-08,1499.3169861819006
Andrei Stoliarov,2001-10-01,1515.1848273146225
Andrei Stoliarov,2001-10-01,1501.9339828186266
Andrei Stoliarov,2002-09-30,1488.2298505456993
Andrei Stoliarov,2003-09-29,1472.7558381025167
Andrei Stoliarov,2004-10-11,1459.2039444468571
Andrej Kracman,2001-02-09,1468.112278453985
Andrej Kracman,2009-03-06,1485.576652832712
Andres Filimonov,1998-05-01,1516.0
Andres Filimonov,1998-05-01,1500.0
Andres Filimonov,1999-04-30,1516.0
Andres Filimonov,2000-04-28,1513.1004474267124
Andrew Ilie,1998-10-12,1483.9448682764037
Andrew Ilie,1998-10-19,1470.5747382211832
Andrew Ilie,1999-11-08,1456.8890799577052
Andrew Ilie,2000-10-23,1460.3081142962517
Andrew Ilie,2000-10-23,1446.7262705995445
Andrew Ilie,2000-11-06,1441.6457909988728
Andrew Richardson,1998-02-23,1519.3234210935534
Andrew Richardson,1998-02-23,1503.2097498970727
Andrey Dernovskiy,2000-02-04,1517.4358728782763
