player_name,date,player_hard_elo
Adrian Mannarino,2011-01-17,1552.9632184617326
Adrian Mannarino,2011-01-31,1563.5191318352024
Adrian Mannarino,2011-01-31,1576.4071349316746
Adrian Mannarino,2011-02-14,1585.9267249601523
Adrian Mannarino,2011-02-14,1574.4453397572088
Adrian Mannarino,2011-02-21,1586.6441881136955
Adrian Mannarino,2011-02-21,1567.8086604030757
Adrian Mannarino,2011-03-10,1553.1628710665082
Adrian Mannarino,2011-03-23,1529.225880877046
Adrian Mannarino,2011-08-08,1513.8553664820265
Adrian Mannarino,2011-08-21,1501.6077634748763
Adrian Mannarino,2011-08-29,1492.969424942185
Adrian Mannarino,2011-10-17,1484.0011730635213
Adrian Mannarino,2011-10-24,1511.3977415260238
Adrian Mannarino,2011-10-24,1517.397654841413
Adrian Mannarino,2011-11-07,1538.6155178532888
Adrian Mannarino,2011-11-07,1537.6562569695445
Adrian Mannarino,2012-01-01,1522.8113106549117
Adrian Mannarino,2012-01-09,1548.6105681420856
Adrian Mannarino,2012-01-09,1535.6037733228388
Adrian Mannarino,2012-01-16,1531.9708815466417
Adrian Mannarino,2012-01-30,1516.9416189253438
Adrian Mannarino,2012-02-20,1502.307980945489
Adrian Mannarino,2012-02-27,1483.6192112634858
Adrian Mannarino,2013-01-14,1482.221194495831
Adrian Mannarino,2013-02-04,1472.6321136151114
Adrian Mannarino,2013-07-15,1509.129517390173
Adrian Mannarino,2013-07-15,1499.733457451804
Adrian Mannarino,2013-08-11,1489.7341928937244
Adrian Mannarino,2013-08-18,1475.289483831993
Adrian Mannarino,2013-08-26,1517.2372353801275
Adrian Mannarino,2013-08-26,1516.1581841088266
Adrian Mannarino,2013-09-16,1499.967429924655
Adrian Mannarino,2013-09-23,1520.6149953019021
Adrian Mannarino,2013-09-23,1537.1079926397358
Adrian Mannarino,2013-10-14,1516.8634286390009
Adrian Mannarino,2013-10-21,1515.4270198496329
Adrian Mannarino,2013-10-28,1501.2648189936956
Adrian Mannarino,2013-12-29,1490.9847570362301
Adrian Mannarino,2014-01-06,1478.109711220046
Adrian Mannarino,2014-01-13,1495.7399604446912
Adrian Mannarino,2014-01-13,1492.761055928001
Adrian Mannarino,2014-02-03,1508.9658698511712
Adrian Mannarino,2014-02-03,1500.944253980897
Adrian Mannarino,2014-02-10,1489.035834220238
Adrian Mannarino,2014-02-17,1510.0481596037098
Adrian Mannarino,2014-02-17,1502.855772679594
Adrian Mannarino,2014-02-24,1490.853909072468
Adrian Mannarino,2014-03-06,1473.7151699028666
Adrian Mannarino,2014-03-19,1498.6612779485642
Adrian Mannarino,2014-03-19,1495.0500734072857
Adrian Mannarino,2014-07-14,1476.805449785921
Adrian Mannarino,2014-08-17,1494.1918899643897
Adrian Mannarino,2014-08-17,1489.3780941041207
Adrian Mannarino,2014-08-25,1528.0157793710478
Adrian Mannarino,2014-08-25,1519.5263464939871
Adrian Mannarino,2014-09-15,1511.4879949575309
Adrian Mannarino,2014-10-13,1559.3169826991434
Adrian Mannarino,2014-10-13,1540.8041882004818
Adrian Mannarino,2014-10-27,1555.2265434025726
Adrian Mannarino,2014-10-27,1551.8061854647237
Adrian Mannarino,2015-01-12,1585.9648844062283
Adrian Mannarino,2015-01-12,1594.261987983199
Adrian Mannarino,2015-01-19,1605.5275269530805
Adrian Mannarino,2015-01-19,1595.3587676798477
Adrian Mannarino,2015-02-02,1574.2439146554723
Adrian Mannarino,2015-02-09,1558.6542103946124
Adrian Mannarino,2015-02-16,1582.658215382024
Adrian Mannarino,2015-02-16,1592.5641453019834
Adrian Mannarino,2015-02-23,1583.023708859266
Adrian Mannarino,2015-03-12,1611.1311002924326
Adrian Mannarino,2015-03-12,1625.7079931711637
Adrian Mannarino,2015-03-25,1638.177419367525
Adrian Mannarino,2015-03-25,1647.926542516407
Adrian Mannarino,2015-07-20,1665.742476373368
Adrian Mannarino,2015-07-20,1674.6049743653714
Adrian Mannarino,2015-07-27,1652.2004554761697
Adrian Mannarino,2015-08-10,1638.7139505338396
Adrian Mannarino,2015-08-16,1625.2734091307711
Adrian Mannarino,2015-08-31,1635.3513364136672
Adrian Mannarino,2015-08-31,1633.3125721087963
Adrian Mannarino,2015-09-21,1642.1688328186312
Adrian Mannarino,2015-09-21,1620.8212932201777
Adrian Mannarino,2015-09-28,1645.7600096363767
Adrian Mannarino,2015-09-28,1630.4695547648757
Adrian Mannarino,2015-10-05,1614.478344014742
Adrian Mannarino,2015-10-11,1608.7703140995757
Adrian Mannarino,2015-10-19,1591.1113763281287
Adrian Mannarino,2015-10-26,1608.6847665149212
Adrian Mannarino,2015-10-26,1600.1603121856547
Adrian Mannarino,2015-11-02,1585.6810968877598
Adrian Mannarino,2016-01-11,1566.427918283385
Adrian Mannarino,2016-01-18,1548.6310043244257
Adrian Mannarino,2016-02-01,1566.2848883301717
Adrian Mannarino,2016-02-01,1579.613475280979
Adrian Mannarino,2016-02-15,1604.9084938598457
Adrian Mannarino,2016-02-15,1598.299390578248
